tOAAm,xOAAm,yOAAm
0.00,-0.2213630,0.3042122
0.03,-0.2161392,0.3076947
0.07,-0.2161392,0.3076947
0.10,-0.2161392,0.3076947
0.13,-0.2196217,0.3042122
0.17,-0.2196217,0.3042122
0.20,-0.2196217,0.3042122
0.23,-0.2126567,0.3024709
0.27,-0.1952439,0.2989884
0.30,-0.1813138,0.2937646
0.33,-0.1447470,0.2867995
0.37,-0.1273343,0.2867995
0.40,-0.0977327,0.2833169
0.43,-0.0698724,0.2780931
0.47,-0.0594247,0.2780931
0.50,-0.0333056,0.2676455
0.53,-0.0019627,0.2676455
0.57,0.0154500,0.2676455
0.60,0.0642056,0.2711280
0.63,0.0990310,0.2711280
0.67,0.1164438,0.2798344
0.70,0.1512692,0.2885407
0.73,0.1843534,0.2937646
0.77,0.2052486,0.3024709
0.80,0.2035074,0.3024709
0.83,0.2383328,0.3059535
0.87,0.2261439,0.3059535
0.90,0.2191788,0.3059535
0.93,0.2122137,0.3007296
0.97,0.2122137,0.3007296
1.00,0.2052486,0.2937646
1.03,0.1843534,0.2885407
1.07,0.1773883,0.2885407
1.10,0.1477866,0.2798344
1.13,0.1147025,0.2763518
1.17,0.0955485,0.2746106
1.20,0.0711707,0.2711280
1.23,0.0346040,0.2780931
1.27,0.0206738,0.2693867
1.30,-0.0228580,0.2728693
1.33,-0.0663898,0.2763518
1.37,-0.0855438,0.2763518
1.40,-0.1081803,0.2833169
1.43,-0.1290756,0.2885407
1.47,-0.1499709,0.2989884
1.50,-0.1673836,0.3024709
1.53,-0.1795725,0.3059535
1.57,-0.1900201,0.3146598
1.60,-0.2056916,0.3146598
1.63,-0.2196217,0.3181424
1.67,-0.2126567,0.3164011
1.70,-0.2022090,0.3129185
1.73,-0.1882788,0.3059535
1.77,-0.1673836,0.2989884
1.80,-0.1499709,0.2937646
1.83,-0.1290756,0.2867995
1.87,-0.1134042,0.2850582
1.90,-0.0942502,0.2850582
1.93,-0.0681311,0.2850582
1.97,-0.0524596,0.2798344
2.00,-0.0280818,0.2798344
2.03,0.0137087,0.2850582
2.07,0.0607231,0.2937646
2.10,0.0920659,0.2867995
2.13,0.1129612,0.2937646
2.17,0.1234088,0.2937646
2.20,0.1338565,0.2955058
2.23,0.1634581,0.2937646
2.27,0.1704232,0.2937646
2.30,0.1843534,0.3007296
2.33,0.2017661,0.3094360
2.37,0.2174375,0.3129185
2.40,0.2278852,0.3129185
2.43,0.1930597,0.3076947
2.47,0.1791295,0.3042122
2.50,0.1634581,0.2972471
2.53,0.1495279,0.2955058
2.57,0.1355977,0.2937646
2.60,0.1147025,0.2937646
2.63,0.0920659,0.2885407
2.67,0.0694294,0.2867995
2.70,0.0520167,0.2798344
2.73,0.0189325,0.2798344
2.77,-0.0054453,0.2798344
2.80,-0.0176342,0.2798344
2.83,-0.0454945,0.2833169
2.87,-0.0681311,0.2833169
2.90,-0.0890263,0.2850582
2.93,-0.1221105,0.2867995
2.97,-0.1464883,0.2885407
3.00,-0.1865376,0.3076947
